id;country_en;city_en;lat;lng;population
106;Argentina;Presidencia Roque Saenz Pena;-26.7906895;-60.4402504;81879
107;Argentina;Pergamino;-33.8912831;-60.5745999;87652
108;Argentina;Parana;-31.7413197;-60.5115471;262295
109;Argentina;Olavarria;-36.8937167;-60.3233499;86320
110;Argentina;Neuquen;-38.9516784;-68.0591888;242092
111;Argentina;Mendoza;-32.8894587;-68.8458386;876884
112;Argentina;La Rioja;-29.4134538;-66.8564579;162620
113;Argentina;Junin;-34.5885499;-60.949554;85007
114;Argentina;Gobernador Galvez;-33.0624619;-60.615849;74650
115;Argentina;General Roca;-39.0267525;-67.5751724;73212
116;Argentina;General Pico;-35.6593239;-63.7577887;57029
117;Argentina;Cordoba;-31.4200833;-64.1887761;1428214
118;Argentina;Comodoro Rivadavia;-45.8656149;-67.4822429;140850
119;Argentina;Cipolletti;-38.938771;-67.9954929;75078
120;Argentina;Chivilcoy;-34.8969795;-60.0190731;54514
121;Argentina;Chimbas;-31.4965964;-68.5317615;73829
122;Argentina;Bahia Blanca;-38.7183177;-62.2663478;276546
123;Argentina;Villa Mercedes;-33.6754417;-65.4580688;96781
124;Argentina;San Carlos de Bariloche;-41.1334722;-71.3102778;95394
125;Austria;Vienna;48.2081743;16.3738189;1691468
126;Austria;Wels;48.16542;14.03664;57946
127;Austria;Villach;46.60856;13.85062;58882
128;Austria;Salzburg;47.80949;13.05501;150269
129;Austria;Linz;48.30694;14.28583;181162
130;Austria;Klagenfurt am Woerthersee;46.6364598;14.3122246;90610
131;Austria;Innsbruck;47.2692124;11.4041024;112467
132;Austria;Graz;47.070714;15.439504;222326
133;Australia;Perth;-31.9535132;115.8570471;1896548
134;Australia;Mandurah;-32.5368093;115.7427457;83294
135;Australia;Darwin;-12.4628271;130.8417772;129062
136;Australia;Adelaide;-34.9286212;138.5999594;1225235
137;Australia;Townsville;-19.2576223;146.8178787;196219
138;Australia;Toowoomba;-27.56433;151.9539874;131258
139;Australia;Sydney;-33.8674869;151.2069902;4627345
140;Australia;Rockhampton;-23.3779152;150.5101026;61724
141;Australia;Newcastle;-32.926696;151.7788922;308308
142;Australia;Melbourne;-37.814107;144.96328;4246375
143;Australia;Maitland;-32.7336636;151.5576677;67132
144;Australia;Mackay;-21.1412101;149.1856253;74219
145;Australia;Launceston;-41.4370868;147.1393767;106153
146;Australia;Hobart;-42.8819032;147.3238148;216656
147;Australia;Gold Coast;-28.0172605;153.4256987;591473
148;Australia;Geelong;-38.1485437;144.3613479;226034
149;Australia;Canberra;-35.282;149.128684;367752
150;Australia;Cairns;-16.9203338;145.7708595;153075
151;Australia;Bundaberg;-24.8653911;152.3487394;70826
152;Australia;Brisbane;-27.4710107;153.0234489;2189878
153;Australia;Bendigo;-36.7587109;144.2837466;100617
154;Australia;Ballarat;-37.5636495;143.8671868;97937
155;Australia;Logan City;-27.6410476;153.107509;282673
156;Australia;Adelaide Hills;-34.9998249;138.7995122;60394
157;Azerbaijan;Xankandi;39.8265268;46.7655621;53100
158;Azerbaijan;Saatli;39.9095503;48.3595122;87000
159;Azerbaijan;Nakhchivan;39.2009126;45.4082269;64754
160;Azerbaijan;Lankaran;38.7528669;48.8475015;240300
161;Azerbaijan;Sirvan;39.9265747;48.9205727;70220
162;Azerbaijan;Yevlakh;40.6196638;47.1500324;59036
163;Azerbaijan;Sumqayit;40.5854765;49.6317411;265150
164;Azerbaijan;Qaracuxur;40.3999248;49.9789212;72989
165;Azerbaijan;Sheki;41.1974753;47.1571241;63000
166;Azerbaijan;Mingelchaur;40.7702563;47.0496015;95453
167;Azerbaijan;Ganja;40.6878581;46.3723313;313300
168;Azerbaijan;Baku;40.4092617;49.8670924;1116513
169;Azerbaijan;Bakixanov;40.4249808;49.950331;66686
170;Bosnia and Herzegovina;Zenica;44.2034392;17.9077432;164423
171;Bosnia and Herzegovina;Tuzla;44.5374611;18.6734688;142486
172;Bosnia and Herzegovina;Sarajevo;43.8562586;18.4130763;696731
173;Bosnia and Herzegovina;Mostar;43.3437748;17.8077578;104518
174;Bosnia and Herzegovina;Bihac;44.8119628;15.8685645;75641
175;Bosnia and Herzegovina;Banja Luka;44.7721811;17.191;221106
176;Barbados;Bridgetown;13.1132219;-59.5988089;98511
177;Bangladesh;Thakurgaon;26.0273645;88.4646107;71096
178;Bangladesh;Tungi;23.8927928;90.3944001;337579
179;Bangladesh;Sylhet;24.904539;91.8611011;237000
180;Bangladesh;Jamalpur;24.9249785;89.9463408;167900
181;Bangladesh;Satkhira;22.7184852;89.0704766;128918
182;Bangladesh;Sirajganj;24.4526459;89.6816208;127481
183;Bangladesh;Netrakona;24.8816911;90.7271479;79016
184;Bangladesh;Narsingdi;23.9192671;90.7176492;281080
185;Bangladesh;Sandwip;22.4937132;91.5015009;52152
186;Bangladesh;Shahzadpur;24.1746142;89.5957281;102420
187;Bangladesh;Ramganj;23.1001185;90.8627473;55241
188;Bangladesh;Rajshahi;24.3635886;88.6241351;700133
189;Bangladesh;Pirojpur;22.5841051;89.9720133;54418
190;Bangladesh;Patiya;22.2949889;91.9759204;51360
191;Bangladesh;Narayanganj;23.6226398;90.4997973;223622
192;Bangladesh;Nagarpur;24.0576707;89.8762377;238422
193;Bangladesh;Mymensingh;24.7434484;90.3983829;225126
194;Bangladesh;Maulavi Bazar;24.4842661;91.768487;57441
195;Bangladesh;Lalmanirhat;25.916198;89.4505802;65127
196;Bangladesh;Laksham;23.4428675;91.1747807;82290
197;Bangladesh;Comilla;23.46188;91.186911;389411
198;Bangladesh;Rangpur;25.7438916;89.275227;343122
199;Bangladesh;Kushtia;23.8976006;89.1181849;135724
200;Bangladesh;Joypur Hat;25.0967735;89.0227126;73068
201;Bangladesh;Ishurdi;24.1292024;89.0657027;81995
202;Bangladesh;Habiganj;24.3840055;91.4168974;88760
203;Bangladesh;Feni;23.0159132;91.3975831;84028
204;Bangladesh;Raipur;23.0366069;90.7615995;64652
205;Bangladesh;Dhaka;23.810332;90.4125181;10356500
206;Bangladesh;Khagrachhari;23.110821;91.9905996;50364
207;Bangladesh;Bhairab Bazar;24.0441592;90.9856518;105457
208;Bangladesh;Narail;23.1656982;89.4990219;55112
209;Bangladesh;Tungipara;22.9177736;89.9159785;62210
210;Bangladesh;Sarishabari;24.61393;89.803413;81325
211;Bangladesh;Palang;21.283502;92.1005133;67652
212;Bangladesh;Par Naogaon;24.8086321;88.9519725;192464
213;Bangladesh;Lakshmipur;22.9454033;90.8341624;61703
214;Bangladesh;Faridpur;23.6025239;89.8364558;112187
215;Bangladesh;Dinajpur;25.6216468;88.6354249;206234
216;Bangladesh;Chittagong;22.3475365;91.8123324;3920222
217;Bangladesh;Satkania;22.1000319;92.0812289;52005
218;Bangladesh;Cox's Bazar;21.5225389;91.958344;253788
219;Bangladesh;Khulna;22.845641;89.5403279;1342339
220;Bangladesh;Bhola;22.3316669;90.8294002;99079
221;Bangladesh;Barisal;22.7029212;90.3465971;202242
222;Bangladesh;Jessore;23.1777682;89.1801225;243987
223;Bangladesh;Pabna;24.0113256;89.2562239;186781
224;Bangladesh;Tangail;24.244968;89.9113052;180144
225;Bangladesh;Bogra;24.8435589;89.3701078;210000
226;Bangladesh;Nawabganj;24.5797195;88.2704497;142361
227;Bangladesh;Madaripur;23.1648826;90.1939932;84789
228;Bangladesh;Sherpur;25.0194045;90.0137328;107419
229;Bangladesh;Kishorganj;24.4331227;90.7865655;90690
230;Bangladesh;Saidpur;25.7829542;88.8982666;199422
231;Bangladesh;Azimpur;23.7285918;90.38543;96641
232;Bangladesh;Paltan;22.3518702;91.8237924;84492
233;Belgium;Verviers;50.5910564;5.8655951;52824
234;Belgium;Tournai;50.6056475;3.3879338;67721
235;Belgium;Sint-Niklaas;51.1558839;4.154441;69010
236;Belgium;Seraing;50.5838832;5.4996297;60737
237;Belgium;Roeselare;50.9499087;3.1294471;56016
238;Belgium;Ostend;51.21543;2.928656;69011
239;Belgium;Namur;50.4673883;4.8719854;106284
240;Belgium;Mouscron;50.7459126;3.2192907;52069
241;Belgium;Mons;50.4542408;3.956659;91277
242;Belgium;Mechelen;51.0258761;4.4775362;77530
243;Belgium;Liege;50.6325574;5.5796662;182597
244;Belgium;Leuven;50.8798438;4.7005176;92892
245;Belgium;La Louviere;50.4747995;4.1837388;76668
246;Belgium;Kortrijk;50.8194894;3.2577076;73879
247;Belgium;Hasselt;50.93069;5.33248;69222
248;Belgium;Gent;51.0543422;3.7174243;231493
249;Belgium;Genk;50.96613;май.21;63666
250;Belgium;Charleroi;50.4108998;4.4446709;200132
251;Belgium;Brussels;50.8503396;4.3517103;1019022
252;Belgium;Brugge;51.209348;3.2246995;116709
253;Belgium;Antwerpen;51.2194475;4.4024643;459805
254;Belgium;Aalst;50.9378101;4.0409517;77534
255;Burkina Faso;Ouahigouya;13.5668258;-2.4109908;61096
256;Burkina Faso;Ouagadougou;12.3714277;-1.5196603;1086505
257;Burkina Faso;Koudougou;12.2562183;-2.3517526;87347
258;Burkina Faso;Bobo-Dioulasso;11.1649219;-4.3051542;360106
259;Burkina Faso;Banfora;10.6400163;-4.7588042;60288
260;Bulgaria;Yambol;42.4841999;26.5035023;80116
261;Bulgaria;Vratsa;43.2102375;23.5528803;64941
262;Bulgaria;Vidin;43.996159;22.8679302;54409
263;Bulgaria;Veliko Turnovo;43.0756739;25.6171514;66217
264;Bulgaria;Varna;43.2140504;27.9147333;312770
265;Bulgaria;Dobrich;43.57259;27.8272606;94831
266;Bulgaria;Stara Zagora;42.4257769;25.6344644;143431
267;Bulgaria;Sofia;42.6977082;23.3218675;1152556
268;Bulgaria;Sliven;42.6816536;26.3228685;96368
269;Bulgaria;Shumen;43.2712398;26.9361286;87283
270;Bulgaria;Ruse;43.8355713;25.9656554;156238
271;Bulgaria;Plovdiv;42.1354079;24.7452904;340494
272;Bulgaria;Pleven;43.4170423;24.6066847;118675
273;Bulgaria;Pernik;42.6051862;23.0378368;82467
274;Bulgaria;Pazardzhik;42.1927654;24.3335662;75977
275;Bulgaria;Kurdzhali;41.6338439;25.3777119;51000
276;Bulgaria;Haskovo;41.9344366;25.5554462;79699
277;Bulgaria;Kazanluk;42.6194408;25.3929576;55196
278;Bulgaria;Gabrovo;42.8742212;25.3186837;66175
279;Bulgaria;Burgas;42.5047926;27.4626361;195966
280;Bulgaria;Blagoevgrad;42.0208569;23.0943385;71306
281;Bulgaria;Asenovgrad;42.0133722;24.8784393;52170
282;Bahrain;Madinat Hamad;26.1256441;50.4980362;52718
283;Bahrain;Dar Kulayb;26.0696179;50.5006231;65466
284;Bahrain;Al Muharraq;26.2650742;50.6223267;97458
285;Bahrain;Manama;26.2285161;50.5860497;147074
286;Bahrain;Ar Rifa';26.1226062;50.534262;79550
287;Burundi;Bujumbura;-3.361378;29.3598782;331700
288;Burundi;Muyinga;-2.8409385;30.3464333;71076
289;Benin;Save;8.0335995;2.4851463;75970
290;Benin;Porto-Novo;6.4968574;2.6288523;234168
291;Benin;Parakou;9.3466822;2.6090043;163753
292;Benin;Ouidah;6.3716474;2.0763253;83503
293;Benin;Nikki;9.936763;3.2131232;54009
294;Benin;Natitingou;10.2963526;1.3806902;80892
295;Benin;Lokossa;6.6448093;1.7198215;86971
296;Benin;Kandi;11.1305191;2.9325785;109701
297;Benin;Djougou;9.7080916;1.6663523;237040
298;Benin;Bohicon;7.1797684;2.0714223;125092
299;Benin;Abomey-Calavi;6.4503024;2.3468195;385755
300;Benin;Abomey;7.1854773;1.9979411;82154
301;Brunei;Bandar Seri Begawan;4.9030522;114.939821;64409
302;Bolivia;Yacuiba;-22.0028157;-63.6691522;82803
303;Bolivia;Trinidad;-14.8258317;-64.9000247;84259
304;Bolivia;Tarija;-21.5213825;-64.7280952;159269
305;Bolivia;Sucre;-19.0195852;-65.2619615;224838
306;Bolivia;Santa Cruz de la Sierra;-17.8145819;-63.1560853;1364389
307;Bolivia;Riberalta;-11.0073376;-66.058249;74014
308;Bolivia;Potosi;-19.5722805;-65.7550063;141251
309;Bolivia;Oruro;-17.9646772;-67.1060353;208684
310;Bolivia;Montero;-17.3191113;-63.2621415;88616
311;Bolivia;Cochabamba;-17.4139766;-66.1653224;900414
312;Brazil;Vitoria de Santo Antao;-8.1286072;-35.2979382;107383
313;Brazil;Tucurui;-3.7660765;-49.6777695;76337
314;Brazil;Timon;-5.0980798;-42.8333011;124427
315;Brazil;Teresina;-5.0920108;-42.8037597;744512
316;Brazil;Sobral;-3.6895112;-40.3485697;157996
317;Brazil;Serra Talhada;-7.9821907;-38.2893787;51203
318;Brazil;Sao Luis;-2.5391099;-44.2829046;917237
319;Brazil;Sao Lourenco da Mata;-8.0075658;-35.0221895;88416
320;Brazil;Santa Rita;-7.135868;-34.9662353;119893
321;Brazil;Santarem;-2.4506291;-54.7009228;189047
322;Brazil;Santa Ines;-3.6644286;-45.3839708;67424
323;Brazil;Santa Cruz do Capibaribe;-7.9484331;-36.2064182;76450
324;Brazil;Rio Largo;-9.4782552;-35.8397592;63387
325;Brazil;Recife;-8.0578381;-34.8828969;1478098
326;Brazil;Santana;-0.0457826;-51.1733673;83927
327;Brazil;Picos;-7.0776163;-41.4673741;57495
328;Brazil;Petrolina;-9.389083;-40.5030961;194650
329;Brazil;Paulo Afonso;-9.4061251;-38.2163717;85350
330;Brazil;Paulista;-7.934422;-34.8687212;289971
331;Brazil;Patos;-7.0178331;-37.275037;92575
332;Brazil;Parnamirim;-5.9115545;-35.2713164;150343
333;Brazil;Parnaiba;-2.9055447;-41.7733626;138008
334;Brazil;Parintins;-2.6377762;-56.7295262;64428
335;Brazil;Paragominas;-3.0024862;-47.3531078;69613
336;Brazil;Pacatuba;-3.9295278;-38.6057798;55291
337;Brazil;Olinda;-7.9907141;-34.8416216;366754
338;Brazil;Natal;-5.7792569;-35.200916;763043
